renovation,area,city,floor,rooms,house_floors,house_wall_type,build_year,price
Косметический,29.4,Казань,5,1,9,Кирпичный,1975,5099988.6
,40.4,Казань,4,1,9,Кирпичный,1983,4998974.8
,32.0,Казань,3,1,5,Панельный,1966,4789984.0
,30.2,Казань,4,1,5,Кирпичный,1965,4799988.0
Косметический,33.4,Казань,5,1,5,Панельный,1969,4699981.2
,32.0,Казань,4,1,5,Панельный,1973,5080000.0
,32.6,Казань,6,1,9,Кирпичный,1985,4849999.8
Косметический,30.4,Казань,2,1,5,Панельный,1967,4799977.6
,32.0,Казань,5,1,5,Иные,1971,4600000.0
Косметический,33.3,Казань,5,1,5,Кирпичный,1967,4999995.0
Косметический,32.0,Казань,1,1,5,Панельный,1972,4600000.0
Косметический,30.2,Казань,4,1,5,Кирпичный,1971,4489985.0
,32.1,Казань,5,1,5,Иные,1969,4329969.0
Дизайнерский,30.0,Казань,1,1,5,Панельный,1965,4800000.0
Косметический,29.0,Казань,7,1,9,Кирпичный,1985,4599980.0
Косметический,33.0,Казань,4,1,5,Кирпичный,1969,4899972.0
,31.0,Казань,4,1,5,Кирпичный,1960,4349982.0
,31.8,Казань,5,1,5,Смешанные,1960,4349985.600000001
Косметический,30.9,Казань,5,1,5,Панельный,1966,4198970.1
Косметический,39.54,Казань,7,1,9,Панельный,1991,4489964.7
,31.4,Казань,6,1,9,Кирпичный,1978,4449976.6
Отсутствует,32.0,Казань,4,1,5,Кирпичный,1960,4300000.0
,31.5,Казань,3,1,5,Иные,1968,4189972.5
,30.1,Казань,5,1,5,Иные,1959,4099981.2
,33.0,Казань,4,1,5,Панельный,1973,3999996.0
Косметический,34.0,Казань,9,1,9,Иные,1996,4299980.0
,35.8,Казань,8,1,9,Кирпичный,1998,4549965.199999999
,32.0,Казань,2,1,3,Кирпичный,1961,4049984.0
Косметический,31.0,Казань,2,1,5,Смешанные,1960,4189991.0
Косметический,29.5,Казань,4,1,4,Кирпичный,1962,3799983.5
,33.0,Казань,5,1,5,Кирпичный,1971,3789984.0
,33.8,Казань,7,1,9,Кирпичный,1976,4199988.0
Косметический,29.9,Казань,4,1,9,Кирпичный,1993,4319981.899999999
,30.3,Казань,1,1,5,Кирпичный,1962,4199973.9
,30.4,Казань,3,1,5,Панельный,1966,3598995.1999999997
,29.3,Казань,5,1,5,Иные,1978,3679992.1
,26.5,Казань,7,1,9,Кирпичный,1989,3989999.0
Отсутствует,36.1,Казань,3,1,5,Кирпичный,1983,4099985.3000000003
Косметический,33.9,Казань,2,1,2,Кирпичный,1959,4099967.6999999997
Косметический,30.0,Казань,2,1,5,Кирпичный,1963,4170000.0
,31.0,Казань,3,1,5,Кирпичный,1980,3539983.0
Косметический,30.0,Казань,6,1,9,Кирпичный,1979,3999990.0
Косметический,30.0,Казань,7,1,9,Кирпичный,1980,3789000.0
,30.6,Казань,1,1,2,Панельный,1961,4099971.6
,30.1,Казань,3,1,3,Кирпичный,1982,3349979.5
Косметический,30.4,Казань,7,1,9,Кирпичный,1977,3849977.5999999996
,18.0,Казань,5,1,5,Кирпичный,1966,3489984.0
,17.0,Казань,6,1,9,Кирпичный,1978,3809989.0
Косметический,29.7,Казань,6,1,9,Кирпичный,1982,3699996.3
Косметический,30.4,Казань,2,1,2,Кирпичный,1974,3199995.1999999997
,21.8,Казань,2,1,5,Кирпичный,1972,3149991.0
Косметический,30.3,Казань,5,1,9,Кирпичный,1982,3798983.7
Косметический,19.1,Казань,2,1,5,Кирпичный,1978,2949995.0
,17.5,Казань,2,1,5,Кирпичный,1971,2979987.5
,30.2,Казань,3,1,9,Кирпичный,1980,3699983.1999999997
,18.1,Казань,2,1,5,Кирпичный,1973,2799997.6
Косметический,24.0,Казань,1,1,5,Кирпичный,1975,2799984.0
,17.6,Казань,5,1,5,Кирпичный,1985,2949988.8000000003
Косметический,21.0,Казань,3,1,9,Кирпичный,1980,3499986.0
,22.5,Казань,2,1,2,Иные,1950,2599987.5
,18.5,Казань,2,1,5,Иные,1968,2549984.5
Косметический,28.6,Казань,1,1,5,Кирпичный,1973,2849990.0
,20.3,Казань,3,1,9,Кирпичный,1980,3499983.9
,23.9,Казань,1,1,2,Иные,1952,2549986.5999999996
,16.5,Казань,2,1,2,Кирпичный,1950,2569990.5
,21.1,Казань,1,1,5,Кирпичный,1970,3299997.8000000003
Отсутствует,28.4,Казань,1,1,9,Иные,1977,3099973.5999999996
,14.5,Казань,1,1,5,Иные,1970,3199990.5
Косметический,17.4,Казань,3,1,5,Кирпичный,1967,2549987.4
Косметический,34.1,Казань,2,1,5,Монолитный,1971,3049972.2
Косметический,34.1,Казань,2,1,5,Монолитный,1971,2949991.0
Косметический,33.9,Казань,3,1,5,Кирпичный,1968,2999980.5
Косметический,24.0,Казань,1,1,2,Кирпичный,1917,5100000.0
